ID,Legante,Famiglia_Legante,Metallo,Sale_Metallico,Solvente,Additivo_Colinker,Temperatura_C,Tempo_ore,mmol_Legante,mmol_Sale,Rapporto_LM,Procedura_Sintetica,Esito_ML,Volume solvente,Data_Quality_Flag,Exact_Duplicate_Group,Outcome_Conflict_Flag,Training_v5_2_Status,Training_v5_2_Reason,Training_v5_2_Warning,Split_ID,Split_Set,Grouping_Variable,Split_Seed
60,"3-amino-4,4'-bipyrazole",Bipyrazole,Ag,AgNO3,DMF,Nessuno,100,48,0.2,0.2,1,Solvothermal,1,,numeric_decimal_standardized;temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730
61,"3-amino-4,4'-bipyrazole",Bipyrazole,Ag,AgNO3,DMF,Nessuno,120,72,0.3,0.3,1,Solvothermal,1,,numeric_decimal_standardized;temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730
62,"3-amino-4,4'-bipyrazole",Bipyrazole,Ag,AgNO3,Et3N,Nessuno,120,60,0.25,0.4,0.625,Solvothermal,1,,temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730
63,"3-amino-4,4'-bipyrazole",Bipyrazole,Ag,Ag2O,Non specificato,Nessuno,120,60,0.25,0.4,0.625,Solvothermal,1,,temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730
64,"3-amino-4,4'-bipyrazole",Bipyrazole,Au,Cloro(tri-tert-butilfosfina)Au(I),DMF,Nessuno,120,72,0.2,0.2,1,Solvothermal,1,,numeric_decimal_standardized;temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730
65,"3-amino-4,4'-bipyrazole",Bipyrazole,Au,Chlorotriphenylphosphine gold(I),Non specificato,Nessuno,120,24,0.2,0.2,1,Solvothermal,1,,numeric_decimal_standardized;temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730
66,"3-amino-4,4'-bipyrazole",Bipyrazole,Au,Cloro(tri-tert-butilfosfina)Au(I),MeOH,Nessuno,120,24,0.2,0.2,1,Solvothermal,1,,numeric_decimal_standardized;solvent_canonicalized;temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730
67,"3-amino-4,4'-bipyrazole",Bipyrazole,Au,Cloro(tri-tert-butilfosfina)Au(I),DMF,Nessuno,100,48,0.2,0.2,1,Solvothermal,1,,numeric_decimal_standardized;temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730
68,"3-amino-4,4'-bipyrazole",Bipyrazole,Au,Chlorotriphenylphosphine gold(I),Non specificato,Nessuno,120,60,0.25,0.4,0.625,Solvothermal,1,,temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730
69,"3-amino-4,4'-bipyrazole",Bipyrazole,Cd,Cd(NO3)2·4H2O,DMF/H2O,Nessuno,160,72,0.3,0.3,1,Solvothermal,1,,numeric_decimal_standardized;salt_hydrate_separator_standardized;temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730
70,"3-amino-4,4'-bipyrazole",Bipyrazole,Cd,Cd(NO3)2·4H2O,DMF,Nessuno,140,72,0.2,0.2,1,Solvothermal,1,,numeric_decimal_standardized;salt_hydrate_separator_standardized;temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730
71,"3-amino-4,4'-bipyrazole",Bipyrazole,Cd,Cd(OAc)2·2H2O,DMF/H2O,Nessuno,140,48,0.2,0.1,2,Solvothermal,1,,numeric_decimal_standardized;salt_hydrate_separator_standardized;temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730
72,"3-amino-4,4'-bipyrazole",Bipyrazole,Cd,Cd(NO3)2·4H2O,MeOH,Nessuno,120,48,0.2,0.1,2,Solvothermal,1,,numeric_decimal_standardized;salt_hydrate_separator_standardized;temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730
73,"3-amino-4,4'-bipyrazole",Bipyrazole,Cd,Cd(NO3)2·4H2O,DMF/H2O,Nessuno,140,120,0.2,0.1,2,Solvothermal,1,,numeric_decimal_standardized;salt_hydrate_separator_standardized;temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730
74,"3-amino-4,4'-bipyrazole",Bipyrazole,Cd,Cd(NO3)2·4H2O,DMF,Nessuno,140,48,0.2,0.1,2,Solvothermal,1,,numeric_decimal_standardized;salt_hydrate_separator_standardized;temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730
75,"3-amino-4,4'-bipyrazole",Bipyrazole,Cd,Cd(NO3)2·4H2O,DMF,Nessuno,140,48,0.8,0.4,2,Solvothermal,1,,numeric_decimal_standardized;salt_hydrate_separator_standardized;temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730
76,"3-amino-4,4'-bipyrazole",Bipyrazole,Cd,Cd(NO3)2·4H2O,DMF,Nessuno,160,24,0.2,0.1,2,Solvothermal,2,,numeric_decimal_standardized;salt_hydrate_separator_standardized;temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730
77,"3-amino-4,4'-bipyrazole",Bipyrazole,Cd,Cd(NO3)2·4H2O,DMF,Nessuno,160,48,0.1,0.1,1,Solvothermal,1,,numeric_decimal_standardized;salt_hydrate_separator_standardized;temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730
78,"3-amino-4,4'-bipyrazole",Bipyrazole,Cd,Cd(NO3)2·4H2O,DMF,Nessuno,160,48,0.1,0.2,0.5,Solvothermal,1,,salt_hydrate_separator_standardized;temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730
79,"3-amino-4,4'-bipyrazole",Bipyrazole,Cd,Cd(OAc)2·2H2O,DMF,Nessuno,140,48,0.2,0.1,2,Solvothermal,1,,numeric_decimal_standardized;salt_hydrate_separator_standardized;temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730
80,"3-amino-4,4'-bipyrazole",Bipyrazole,Cd,Cd(NO3)2·4H2O,DMF/EtOH,Nessuno,140,48,0.2,0.1,2,Solvothermal,1,,numeric_decimal_standardized;salt_hydrate_separator_standardized;temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730
81,"3-amino-4,4'-bipyrazole",Bipyrazole,Cd,Cd(NO3)2·4H2O,DMF/MeOH,Nessuno,140,72,0.2,0.1,2,Solvothermal,1,,numeric_decimal_standardized;salt_hydrate_separator_standardized;temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730
82,"3-amino-4,4'-bipyrazole",Bipyrazole,Cd,Cd(NO3)2·4H2O,Non specificato,Nessuno,120,48,0.15,0.15,1,Solvothermal,1,,numeric_decimal_standardized;salt_hydrate_separator_standardized;temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730
83,"3-amino-4,4'-bipyrazole",Bipyrazole,Cd,Cd(OAc)2·2H2O,Non specificato,Nessuno,120,48,0.15,0.15,1,Solvothermal,1,,numeric_decimal_standardized;salt_hydrate_separator_standardized;temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730
84,"3-amino-4,4'-bipyrazole",Bipyrazole,Cu,CuOAc,MeOH,Mesitilene,120,24,0.2,0.2,1,Solvothermal,1,,numeric_decimal_standardized;solvent_canonicalized;temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730
85,"3-amino-4,4'-bipyrazole",Bipyrazole,Cu,CuOAc,ButOH,Nessuno,120,36,0.15,0.15,1,Solvothermal,1,,numeric_decimal_standardized;temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730
86,"3-amino-4,4'-bipyrazole",Bipyrazole,Cu,CuOAc,DMF,Nessuno,110,48,0.2,0.2,1,Solvothermal,1,,numeric_decimal_standardized;temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730
87,"3-amino-4,4'-bipyrazole",Bipyrazole,Cu,CuOAc,MeOH,Nessuno,70,72,0.15,0.15,1,Solvothermal,1,,numeric_decimal_standardized;solvent_canonicalized;temperature_numeric_standardized;time_numeric_standardized,,0,INCLUDED,,missing_optional_numeric:Volume solvente,MOF_GROUPED_LIGAND_SPLIT_v6.0_seed260730,DEVELOPMENT,Legante,260730
