Positive_ID,ID,Legante,Famiglia_Legante,Metallo,Sale_Metallico,Solvente,Additivo_Colinker,Temperatura_C,Tempo_ore,mmol_Legante,mmol_Sale,Rapporto_LM,Volume solvente,Hydration_Number,Counterion_Class,Oxidation_State,Procedura_Sintetica,Esito_ML,Positive_Library_Source,Data_Quality_Flag,Split_Set
POS-0092,483,TCPP,Non specificata,Al,Al(NO3)3·9H2O,H2O,Nessuno,180,24.0,0.1,0.5,0.2,,,,,Hydrothermal,2,development_positive,temperature_numeric_standardized;time_numeric_standardized,DEVELOPMENT
POS-0093,484,Fumaric acid,Non specificata,Zr,ZrOCl2·8H2O,H2O/Formic acid,Nessuno,100,24.0,2.0,2.0,1.0,,,,,Hydrothermal,2,development_positive,numeric_decimal_standardized;solvent_canonicalized;temperature_numeric_standardized;time_numeric_standardized,DEVELOPMENT
POS-0094,485,"1,4-Benzenedicarboxylic acid (H2BDC)",Non specificata,Ce,Ce(NH4)2(NO3)6,DMF,Nessuno,100,15.0,1.0,1.0,1.0,,,,,Solvothermal,2,development_positive,numeric_decimal_standardized;temperature_numeric_standardized;time_numeric_standardized,DEVELOPMENT
POS-0095,486,"1,4-Benzenedicarboxylic acid (H2BDC)",Non specificata,Hf,HfCl4,DMF/HCl,Nessuno,120,24.0,1.0,1.0,1.0,,,,,Solvothermal,2,development_positive,numeric_decimal_standardized;temperature_numeric_standardized;time_numeric_standardized,DEVELOPMENT
POS-0096,487,"4,4'-Biphenyldicarboxylic acid",Non specificata,Hf,HfCl4,DMF/HCl,Nessuno,120,24.0,0.8,0.8,1.0,,,,,Solvothermal,2,development_positive,numeric_decimal_standardized;temperature_numeric_standardized;time_numeric_standardized,DEVELOPMENT
POS-0097,488,"2,5-Thiophenedicarboxylic acid",Non specificata,Zr,ZrCl4,DMF/Propanol,Nessuno,120,24.0,1.0,1.0,1.0,,,,,Solvothermal,2,development_positive,numeric_decimal_standardized;temperature_numeric_standardized;time_numeric_standardized,DEVELOPMENT
POS-0098,489,TDPAT,Non specificata,Fe,FeCl3,DMF,Nessuno,120,48.0,0.3,1.0,0.3,,,,,Solvothermal,2,development_positive,numeric_decimal_standardized;temperature_numeric_standardized;time_numeric_standardized,DEVELOPMENT
POS-0099,490,TCPP,Non specificata,Zr,ZrCl4,DMF,Nessuno,120,24.0,0.05,0.3,0.1667,,,,,Solvothermal,2,development_positive,temperature_numeric_standardized;time_numeric_standardized,DEVELOPMENT
POS-0100,491,TCPP,Non specificata,Zr,ZrOCl2·8H2O,DMF/Benzoic acid,Nessuno,120,24.0,0.05,0.3,0.1667,,,,,Solvothermal,2,development_positive,temperature_numeric_standardized;time_numeric_standardized;exact_duplicate_candidate,DEVELOPMENT
POS-0101,494,H4TBAPy derivative,Non specificata,Zr,ZrOCl2·8H2O,DMF/TFA,Nessuno,120,24.0,0.05,0.25,0.2,,,,,Solvothermal,2,development_positive,temperature_numeric_standardized;time_numeric_standardized,DEVELOPMENT
POS-0102,500,"4,4'-Bipyridine (0.5) / H2BDC (0.5)",Non specificata,Cd,Cd(NO3)2·4H2O,DMF,Nessuno,100,48.0,1.0,1.0,1.0,,,,,Solvothermal,2,development_positive,numeric_decimal_standardized;temperature_numeric_standardized;time_numeric_standardized,DEVELOPMENT
POS-0103,501,2-Fluoroterephthalic acid,Non specificata,Zr,ZrCl4,DMF/HCl,HCl,120,24.0,1.0,1.0,1.0,,,,,Solvothermal,2,development_positive,numeric_decimal_standardized;temperature_numeric_standardized;time_numeric_standardized,DEVELOPMENT
