Sample#,SampleID,Metal,Linker,AA Conc,Temp,first_hetero_h,first_solid_h,first_hetero_or_solid_h,Primary Phase,Secondary Phase
1199,MG2-90-51,Dy,Phthalic,10,40,2.316,,2.316,no solid product,n/a
1200,MG2-90-52,Dy,Isophthalic,10,40,,,,no solid product,n/a
1201,MG2-90-53,Dy,BTC,10,40,,,,no solid product,n/a
1202,MG2-90-54,Dy,Trimellitic,10,40,19.332,,19.332,VOYWUB,n/a
1203,MG2-90-55,Dy,Pyromellitic,10,40,,,,no solid product,n/a
1204,MG2-90-56,Dy,Mellitic,10,40,0.351,0.351,0.351,LAXGOH01,unknown phase
1205,MG2-90-57,Ho,BDC,0,40,2.355,,2.355,no solid product,n/a
1206,MG2-90-58,Ho,Phthalic,0,40,,,,no solid product,n/a
1207,MG2-90-59,Ho,Isophthalic,0,40,,,,no solid product,n/a
1208,MG2-90-60,Ho,BTC,0,40,0.921,4.374,0.921,RAVJUV,unknown phase
1209,MG2-90-61,Ho,Trimellitic,0,40,,19.379,19.379,VOYWUB,n/a
1210,MG2-90-62,Ho,Pyromellitic,0,40,,,,NU-2504,unknown phase
1211,MG2-90-63,Ho,Mellitic,0,40,1.484,0.396,0.396,ZOMKAP02,unknown phase
1212,MG2-90-64,Ho,BDC,2,40,,,,no solid product,n/a
1213,MG2-90-65,Ho,Phthalic,2,40,,,,no solid product,n/a
1214,MG2-90-66,Ho,Isophthalic,2,40,,,,no solid product,n/a
1215,MG2-90-67,Ho,BTC,2,40,,,,no crystalline product,n/a
1216,MG2-90-68,Ho,Trimellitic,2,40,,,,VOYWUB,n/a
1217,MG2-90-69,Ho,Pyromellitic,2,40,,,,NU-2504,unknown phase
1218,MG2-90-70,Ho,Mellitic,2,40,,0.441,0.441,ZOMKAP02,unknown phase
1219,MG2-90-71,Ho,BDC,5,40,,,,no solid product,n/a
1220,MG2-90-72,Ho,Phthalic,5,40,,,,no solid product,n/a
1221,MG2-90-73,Ho,Isophthalic,5,40,,,,no solid product,n/a
1222,MG2-90-74,Ho,BTC,5,40,,,,no crystalline product,n/a
1223,MG2-90-75,Ho,Trimellitic,5,40,19.467,,19.467,VOYWUB,n/a
1224,MG2-90-76,Ho,Pyromellitic,5,40,,,,NU-2504,unknown phase
1225,MG2-90-77,Ho,Mellitic,5,40,0.484,0.484,0.484,ZOMKAP02,unknown phase
1226,MG2-90-78,Ho,BDC,10,40,,,,no solid product,n/a
1227,MG2-90-79,Ho,Phthalic,10,40,,,,no solid product,n/a
1228,MG2-90-80,Ho,Isophthalic,10,40,,,,no solid product,n/a
1229,MG2-90-81,Ho,BTC,10,40,0.51,,0.51,no solid product,n/a
1230,MG2-90-82,Ho,Trimellitic,10,40,,,,no crystalline product,n/a
1231,MG2-90-83,Ho,Pyromellitic,10,40,,,,NU-2504,unknown phase
1232,MG2-90-84,Ho,Mellitic,10,40,0.529,0.529,0.529,unknown phase,n/a
1233,MG2-91-01,Er,BDC,0,40,,,,no solid product,n/a
1234,MG2-91-02,Er,Phthalic,0,40,,,,no solid product,n/a
1235,MG2-91-03,Er,Isophthalic,0,40,,,,no solid product,n/a
1236,MG2-91-04,Er,BTC,0,40,,,,unknown phase,n/a
1237,MG2-91-05,Er,Trimellitic,0,40,1.109,1.109,1.109,VOYWUB,n/a
1238,MG2-91-06,Er,Pyromellitic,0,40,,,,NU-2505,unknown phase
1239,MG2-91-07,Er,Mellitic,0,40,0.038,0.038,0.038,unknown phase,n/a
1240,MG2-91-08,Er,BDC,2,40,,,,no solid product,n/a
1241,MG2-91-09,Er,Phthalic,2,40,,,,no solid product,n/a
1242,MG2-91-10,Er,Isophthalic,2,40,,,,no solid product,n/a
1243,MG2-91-11,Er,BTC,2,40,,,,no solid product,n/a
1244,MG2-91-12,Er,Trimellitic,2,40,2.069,2.069,2.069,VOYWUB,n/a
1245,MG2-91-13,Er,Pyromellitic,2,40,4.075,4.075,4.075,NU-2505,unknown phase
1246,MG2-91-14,Er,Mellitic,2,40,0.084,0.084,0.084,unknown phase,n/a
1247,MG2-91-15,Er,BDC,5,40,,,,no solid product,n/a
1248,MG2-91-16,Er,Phthalic,5,40,,,,no solid product,n/a
1249,MG2-91-17,Er,Isophthalic,5,40,,,,no solid product,n/a
1250,MG2-91-18,Er,BTC,5,40,,,,no solid product,n/a
1251,MG2-91-19,Er,Trimellitic,5,40,10.113,10.113,10.113,VOYWUB,n/a
1252,MG2-91-20,Er,Pyromellitic,5,40,,,,NU-2505,unknown phase
1253,MG2-91-21,Er,Mellitic,5,40,0.128,0.128,0.128,unknown phase,n/a
1254,MG2-91-22,Er,BDC,10,40,,,,no solid product,n/a
1255,MG2-91-23,Er,Phthalic,10,40,,,,no solid product,n/a
1256,MG2-91-24,Er,Isophthalic,10,40,,,,no solid product,n/a
1257,MG2-91-25,Er,BTC,10,40,,,,no solid product,n/a
1258,MG2-91-26,Er,Trimellitic,10,40,,,,no crystalline product,n/a
1259,MG2-91-27,Er,Pyromellitic,10,40,,,,NU-2504,unknown phase
1260,MG2-91-28,Er,Mellitic,10,40,0.171,0.171,0.171,unknown phase,n/a
1261,MG2-91-29,Tm,BDC,0,40,,,,no solid product,n/a
1262,MG2-91-30,Tm,Phthalic,0,40,,,,no solid product,n/a
1263,MG2-91-31,Tm,Isophthalic,0,40,,,,no solid product,n/a
1264,MG2-91-32,Tm,BTC,0,40,,,,no solid product,n/a
1265,MG2-91-33,Tm,Trimellitic,0,40,,19.206,19.206,VOYWUB,n/a
1266,MG2-91-34,Tm,Pyromellitic,0,40,,19.212,19.212,NU-2505,unknown phase
1267,MG2-91-35,Tm,Mellitic,0,40,0.216,0.216,0.216,TUMHAK,unknown phase
1268,MG2-91-36,Tm,BDC,2,40,,,,no solid product,n/a
1269,MG2-91-37,Tm,Phthalic,2,40,,,,no solid product,n/a
1270,MG2-91-38,Tm,Isophthalic,2,40,,,,no solid product,n/a
1271,MG2-91-39,Tm,BTC,2,40,,,,no solid product,n/a
1272,MG2-91-40,Tm,Trimellitic,2,40,,0.248,0.248,VOYWUB,NU-2501
1273,MG2-91-41,Tm,Pyromellitic,2,40,1.339,10.255,1.339,NU-2505,unknown phase
1274,MG2-91-42,Tm,Mellitic,2,40,0.261,0.261,0.261,unknown phase,n/a
1275,MG2-91-43,Tm,BDC,5,40,,,,no solid product,n/a
1276,MG2-91-44,Tm,Phthalic,5,40,,,,no solid product,n/a
1277,MG2-91-45,Tm,Isophthalic,5,40,,,,no solid product,n/a
1278,MG2-91-46,Tm,BTC,5,40,,,,no solid product,n/a
1279,MG2-91-47,Tm,Trimellitic,5,40,,,,no crystalline product,n/a
1280,MG2-91-48,Tm,Pyromellitic,5,40,,,,NU-2505,unknown phase
1281,MG2-91-49,Tm,Mellitic,5,40,0.305,0.305,0.305,unknown phase,n/a
1282,MG2-91-50,Tm,BDC,10,40,,,,no solid product,n/a
1283,MG2-91-51,Tm,Phthalic,10,40,,,,no solid product,n/a
1284,MG2-91-52,Tm,Isophthalic,10,40,,0.867,0.867,no solid product,n/a
1285,MG2-91-53,Tm,BTC,10,40,,,,no solid product,n/a
1286,MG2-91-54,Tm,Trimellitic,10,40,,,,no crystalline product,n/a
1287,MG2-91-55,Tm,Pyromellitic,10,40,10.348,,10.348,no solid product,n/a
1288,MG2-91-56,Tm,Mellitic,10,40,0.349,0.349,0.349,TUMHAK,unknown phase
1289,MG2-91-57,Yb,BDC,0,40,,,,no solid product,n/a
1290,MG2-91-58,Yb,Phthalic,0,40,,,,no solid product,n/a
1291,MG2-91-59,Yb,Isophthalic,0,40,,,,no solid product,n/a
1292,MG2-91-60,Yb,BTC,0,40,,,,no crystalline product,n/a
1293,MG2-91-61,Yb,Trimellitic,0,40,,,,VOYWUB,n/a
1294,MG2-91-62,Yb,Pyromellitic,0,40,,,,NU-2505,unknown phase
1295,MG2-91-63,Yb,Mellitic,0,40,0.395,0.395,0.395,TUMHAK,unknown phase
1296,MG2-91-64,Yb,BDC,2,40,,,,no solid product,n/a
1297,MG2-91-65,Yb,Phthalic,2,40,,,,no solid product,n/a
1298,MG2-91-66,Yb,Isophthalic,2,40,,,,no solid product,n/a
1299,MG2-91-67,Yb,BTC,2,40,,,,no solid product,n/a
1300,MG2-91-68,Yb,Trimellitic,2,40,,,,no crystalline product,n/a
1301,MG2-91-69,Yb,Pyromellitic,2,40,14.442,,14.442,NU-2505,unknown phase
1302,MG2-91-70,Yb,Mellitic,2,40,0.439,0.439,0.439,unknown phase,n/a
1303,MG2-91-71,Yb,BDC,5,40,,,,no solid product,n/a
1304,MG2-91-72,Yb,Phthalic,5,40,,,,no solid product,n/a
1305,MG2-91-73,Yb,Isophthalic,5,40,,,,no solid product,n/a
1306,MG2-91-74,Yb,BTC,5,40,,,,no solid product,n/a
1307,MG2-91-75,Yb,Trimellitic,5,40,,,,no crystalline product,n/a
1308,MG2-91-76,Yb,Pyromellitic,5,40,,,,NU-2505,unknown phase
1309,MG2-91-77,Yb,Mellitic,5,40,0.483,0.483,0.483,unknown phase,n/a
1310,MG2-91-78,Yb,BDC,10,40,,,,no solid product,n/a
1311,MG2-91-79,Yb,Phthalic,10,40,,,,no solid product,n/a
1312,MG2-91-80,Yb,Isophthalic,10,40,,,,no solid product,n/a
1313,MG2-91-81,Yb,BTC,10,40,,,,no solid product,n/a
1314,MG2-91-82,Yb,Trimellitic,10,40,,,,no solid product,n/a
1315,MG2-91-83,Yb,Pyromellitic,10,40,,,,unknown phase,n/a
1316,MG2-91-84,Yb,Mellitic,10,40,0.527,0.527,0.527,unknown phase,n/a
1317,MG2-92-01,Lu,BDC,0,40,,,,no solid product,n/a
1318,MG2-92-02,Lu,Phthalic,0,40,,,,no solid product,n/a
1319,MG2-92-03,Lu,Isophthalic,0,40,,,,no solid product,n/a
1320,MG2-92-04,Lu,BTC,0,40,,,,no crystalline product,n/a
1321,MG2-92-05,Lu,Trimellitic,0,40,,,,VOYWUB,n/a
1322,MG2-92-06,Lu,Pyromellitic,0,40,,6.029,6.029,NU-2505,n/a
1323,MG2-92-07,Lu,Mellitic,0,40,0.038,0.038,0.038,unknown phase,n/a
1324,MG2-92-08,Lu,BDC,2,40,,,,no solid product,n/a
1325,MG2-92-09,Lu,Phthalic,2,40,,,,no solid product,n/a
1326,MG2-92-10,Lu,Isophthalic,2,40,,,,no solid product,n/a
1327,MG2-92-11,Lu,BTC,2,40,,,,no solid product,n/a
1328,MG2-92-12,Lu,Trimellitic,2,40,,,,no solid product,n/a
1329,MG2-92-13,Lu,Pyromellitic,2,40,,6.073,6.073,NU-2505,n/a
1330,MG2-92-14,Lu,Mellitic,2,40,0.082,0.082,0.082,unknown phase,n/a
1331,MG2-92-15,Lu,BDC,5,40,,,,no solid product,n/a
1332,MG2-92-16,Lu,Phthalic,5,40,,,,no solid product,n/a
1333,MG2-92-17,Lu,Isophthalic,5,40,,,,no solid product,n/a
1334,MG2-92-18,Lu,BTC,5,40,,,,no solid product,n/a
1335,MG2-92-19,Lu,Trimellitic,5,40,,,,no solid product,n/a
1336,MG2-92-20,Lu,Pyromellitic,5,40,,,,NU-2505,n/a
1337,MG2-92-21,Lu,Mellitic,5,40,0.127,0.127,0.127,unknown phase,n/a
1338,MG2-92-22,Lu,BDC,10,40,,,,no solid product,n/a
1339,MG2-92-23,Lu,Phthalic,10,40,,,,no solid product,n/a
1340,MG2-92-24,Lu,Isophthalic,10,40,,,,no solid product,n/a
1341,MG2-92-25,Lu,BTC,10,40,,,,no solid product,n/a
1342,MG2-92-26,Lu,Trimellitic,10,40,,,,no solid product,n/a
1343,MG2-92-27,Lu,Pyromellitic,10,40,,,,NU-2505,unknown phase
1344,MG2-92-28,Lu,Mellitic,10,40,0.171,0.171,0.171,unknown phase,n/a
1345,MG2-100-01,La+Lu,BTC,0,80,0,0,0,YIMRUL,n/a
1346,MG2-100-02,La+Lu,Trimellitic,0,80,0.672,0.837,0.672,UTONAT,n/a
1347,MG2-100-03,La+Lu,Pyromellitic,0,80,0.678,0.177,0.177,RIVSOH,n/a
1348,MG2-100-04,La+Lu,Mellitic,0,80,0.021,0.021,0.021,HAPTOJ,n/a
1349,MG2-100-05,La+Lu,BTC,2,80,0.027,0.027,0.027,YIMRUL,n/a
1350,MG2-100-06,La+Lu,Trimellitic,2,80,,,,no solid product,n/a
1351,MG2-100-07,La+Lu,Pyromellitic,2,80,,,,RIVSOH,unknown phase
1352,MG2-100-08,La+Lu,Mellitic,2,80,0.048,0.877,0.048,HAPTOJ,n/a
1353,MG2-100-09,La+Lu,BTC,5,80,0.217,0.217,0.217,YIMRUL,n/a
1354,MG2-100-10,La+Lu,Trimellitic,5,80,,,,no solid product,n/a
1355,MG2-100-11,La+Lu,Pyromellitic,5,80,0.396,0.563,0.396,RIVSOH,n/a
1356,MG2-100-12,La+Lu,Mellitic,5,80,0.074,0.074,0.074,HAPTOJ,n/a
1357,MG2-100-13,La+Lu,BTC,10,80,0.081,0.243,0.081,YIMRUL,n/a
1358,MG2-100-14,La+Lu,Trimellitic,10,80,,,,no solid product,n/a
1359,MG2-100-15,La+Lu,Pyromellitic,10,80,,,,no solid product,n/a
1360,MG2-100-16,La+Lu,Mellitic,10,80,0.101,0.429,0.101,HAPTOJ,n/a
1361,MG2-101-01,La+Lu,BTC,0,60,0,0,0,YIMRUL,n/a
1362,MG2-101-02,La+Lu,Trimellitic,0,60,,,,no solid product,n/a
1363,MG2-101-03,La+Lu,Pyromellitic,0,60,0.511,0.511,0.511,unknown phase,RIVSOH
1364,MG2-101-04,La+Lu,Mellitic,0,60,0.019,0.351,0.019,no crystalline product,n/a
1365,MG2-101-05,La+Lu,BTC,2,60,0.026,0.026,0.026,YIMRUL,n/a
1366,MG2-101-06,La+Lu,Trimellitic,2,60,,,,no solid product,n/a
1367,MG2-101-07,La+Lu,Pyromellitic,2,60,0.204,0.536,0.204,unknown phase,n/a
1368,MG2-101-08,La+Lu,Mellitic,2,60,0.045,0.21,0.045,no crystalline product,n/a
1369,MG2-101-09,La+Lu,BTC,5,60,0.382,0.382,0.382,YIMRUL,unknown phase
1370,MG2-101-10,La+Lu,Trimellitic,5,60,,,,no solid product,n/a
1371,MG2-101-11,La+Lu,Pyromellitic,5,60,,,,no solid product,n/a
1372,MG2-101-12,La+Lu,Mellitic,5,60,0.071,0.402,0.071,no crystalline product,n/a
1373,MG2-101-13,La+Lu,BTC,10,60,0.077,0.243,0.077,YIMRUL,n/a
1374,MG2-101-14,La+Lu,Trimellitic,10,60,,,,no solid product,n/a
1375,MG2-101-15,La+Lu,Pyromellitic,10,60,,,,no solid product,n/a
1376,MG2-101-16,La+Lu,Mellitic,10,60,0.097,0.097,0.097,no crystalline product,n/a
1377,MG2-102-01,La+Lu,BTC,0,40,0,0.499,0,YIMRUL,n/a
1378,MG2-102-02,La+Lu,Trimellitic,0,40,,,,no solid product,n/a
1379,MG2-102-03,La+Lu,Pyromellitic,0,40,,,,no solid product,n/a
1380,MG2-102-04,La+Lu,Mellitic,0,40,0.02,0.02,0.02,no crystalline product,n/a
1381,MG2-102-05,La+Lu,BTC,2,40,0.026,0.026,0.026,YIMRUL,n/a
1382,MG2-102-06,La+Lu,Trimellitic,2,40,,,,no solid product,n/a
1383,MG2-102-07,La+Lu,Pyromellitic,2,40,0.205,0.372,0.205,unknown phase,n/a
1384,MG2-102-08,La+Lu,Mellitic,2,40,0.047,0.047,0.047,no crystalline product,n/a
1385,MG2-102-09,La+Lu,BTC,5,40,0.719,0.554,0.554,YIMRUL,n/a
1386,MG2-102-10,La+Lu,Trimellitic,5,40,,,,no solid product,n/a
1387,MG2-102-11,La+Lu,Pyromellitic,5,40,,,,no solid product,n/a
1388,MG2-102-12,La+Lu,Mellitic,5,40,0.074,0.907,0.074,no crystalline product,n/a
1389,MG2-102-13,La+Lu,BTC,10,40,0.08,0.914,0.08,YIMRUL,n/a
1390,MG2-102-14,La+Lu,Trimellitic,10,40,,,,no solid product,n/a
1391,MG2-102-15,La+Lu,Pyromellitic,10,40,,,,no solid product,n/a
1392,MG2-102-16,La+Lu,Mellitic,10,40,0.101,0.101,0.101,no crystalline product,n/a
1393,MG2-103-01,La+Gd,BTC,0,80,0,0,0,YIMRUL,n/a
1394,MG2-103-02,La+Gd,Trimellitic,0,80,0.172,0.339,0.172,UTONAT,n/a
1395,MG2-103-03,La+Gd,Pyromellitic,0,80,0.014,0.014,0.014,RIVSOH,n/a
1396,MG2-103-04,La+Gd,Mellitic,0,80,0.02,,0.02,HAPTOJ,n/a
1397,MG2-103-05,La+Gd,BTC,2,80,0.027,0.027,0.027,YIMRUL,n/a
1398,MG2-103-06,La+Gd,Trimellitic,2,80,0.531,0.699,0.531,UTONAT,n/a
1399,MG2-103-07,La+Gd,Pyromellitic,2,80,0.041,0.041,0.041,RIVSOH,n/a
1400,MG2-103-08,La+Gd,Mellitic,2,80,0.047,0.047,0.047,NACKOT,n/a
1401,MG2-103-09,La+Gd,BTC,5,80,0.219,0.219,0.219,YIMRUL,unknown phase
1402,MG2-103-10,La+Gd,Trimellitic,5,80,0.727,,0.727,no solid product,n/a
1403,MG2-103-11,La+Gd,Pyromellitic,5,80,0.068,0.564,0.068,RIVSOH,n/a
1404,MG2-103-12,La+Gd,Mellitic,5,80,0.074,0.239,0.074,HAPTOJ,n/a
1405,MG2-103-13,La+Gd,BTC,10,80,0.081,0.081,0.081,YIMRUL,n/a
1406,MG2-103-14,La+Gd,Trimellitic,10,80,,,,no solid product,n/a
1407,MG2-103-15,La+Gd,Pyromellitic,10,80,0.428,0.76,0.428,RIVSOH,unknown phase
1408,MG2-103-16,La+Gd,Mellitic,10,80,0.101,0.101,0.101,HAPTOJ,n/a
1409,MG2-104-01,La+Gd,BTC,0,60,0,0,0,YIMRUL,n/a
1410,MG2-104-02,La+Gd,Trimellitic,0,60,0.339,0.505,0.339,UTONAT,n/a
1411,MG2-104-03,La+Gd,Pyromellitic,0,60,0.014,0.346,0.014,RIVSOH,n/a
1412,MG2-104-04,La+Gd,Mellitic,0,60,0.021,0.186,0.021,no crystalline product,n/a
1413,MG2-104-05,La+Gd,BTC,2,60,0.027,0.027,0.027,YIMRUL,n/a
1414,MG2-104-06,La+Gd,Trimellitic,2,60,1.031,,1.031,no solid product,n/a
1415,MG2-104-07,La+Gd,Pyromellitic,2,60,0.041,0.041,0.041,RIVSOH,n/a
1416,MG2-104-08,La+Gd,Mellitic,2,60,0.048,,0.048,no crystalline product,n/a
1417,MG2-104-09,La+Gd,BTC,5,60,0.219,0.219,0.219,YIMRUL,n/a
1418,MG2-104-10,La+Gd,Trimellitic,5,60,1.058,,1.058,no solid product,n/a
1419,MG2-104-11,La+Gd,Pyromellitic,5,60,0.068,0.232,0.068,RIVSOH,n/a
1420,MG2-104-12,La+Gd,Mellitic,5,60,0.075,,0.075,no crystalline product,n/a
1421,MG2-104-13,La+Gd,BTC,10,60,0.081,0.081,0.081,YIMRUL,n/a
1422,MG2-104-14,La+Gd,Trimellitic,10,60,,,,no solid product,n/a
1423,MG2-104-15,La+Gd,Pyromellitic,10,60,,,,no solid product,n/a
1424,MG2-104-16,La+Gd,Mellitic,10,60,0.102,0.43,0.102,no crystalline product,n/a
1425,MG2-105-01,La+Gd,BTC,0,40,0,0,0,YIMRUL,n/a
1426,MG2-105-02,La+Gd,Trimellitic,0,40,,,,no solid product,n/a
1427,MG2-105-03,La+Gd,Pyromellitic,0,40,0.014,0.343,0.014,RIVSOH,n/a
1428,MG2-105-04,La+Gd,Mellitic,0,40,0.021,0.021,0.021,no crystalline product,n/a
1429,MG2-105-05,La+Gd,BTC,2,40,0.028,0.028,0.028,YIMRUL,n/a
1430,MG2-105-06,La+Gd,Trimellitic,2,40,,,,no solid product,n/a
1431,MG2-105-07,La+Gd,Pyromellitic,2,40,0.041,0.041,0.041,RIVSOH,n/a
1432,MG2-105-08,La+Gd,Mellitic,2,40,0.049,0.212,0.049,no crystalline product,n/a
1433,MG2-105-09,La+Gd,BTC,5,40,0.219,0.219,0.219,YIMRUL,unknown phase
1434,MG2-105-10,La+Gd,Trimellitic,5,40,,,,no solid product,n/a
1435,MG2-105-11,La+Gd,Pyromellitic,5,40,0.068,0.232,0.068,RIVSOH,n/a
1436,MG2-105-12,La+Gd,Mellitic,5,40,0.076,0.076,0.076,no crystalline product,n/a
1437,MG2-105-13,La+Gd,BTC,10,40,0.409,0.409,0.409,YIMRUL,n/a
1438,MG2-105-14,La+Gd,Trimellitic,10,40,,,,no solid product,n/a
1439,MG2-105-15,La+Gd,Pyromellitic,10,40,,,,no solid product,n/a
1440,MG2-105-16,La+Gd,Mellitic,10,40,0.103,0.103,0.103,no crystalline product,n/a
1441,MG2-106-01,Gd+Lu,BTC,0,80,0,0,0,CAQFEI,n/a
1442,MG2-106-02,Gd+Lu,Trimellitic,0,80,0.671,0.504,0.504,VOYWUB,n/a
1443,MG2-106-03,Gd+Lu,Pyromellitic,0,80,,,,UZATAR,n/a
1444,MG2-106-04,Gd+Lu,Mellitic,0,80,0.021,0.021,0.021,no crystalline product,n/a
1445,MG2-106-05,Gd+Lu,BTC,2,80,0.857,0.857,0.857,no crystalline product,n/a
1446,MG2-106-06,Gd+Lu,Trimellitic,2,80,,,,no solid product,n/a
1447,MG2-106-07,Gd+Lu,Pyromellitic,2,80,,,,no solid product,n/a
1448,MG2-106-08,Gd+Lu,Mellitic,2,80,0.048,0.048,0.048,no crystalline product,n/a
1449,MG2-106-09,Gd+Lu,BTC,5,80,,,,no solid product,n/a
1450,MG2-106-10,Gd+Lu,Trimellitic,5,80,,,,no crystalline product,n/a
1451,MG2-106-11,Gd+Lu,Pyromellitic,5,80,,,,no solid product,n/a
1452,MG2-106-12,Gd+Lu,Mellitic,5,80,0.076,0.076,0.076,no crystalline product,n/a
1453,MG2-106-13,Gd+Lu,BTC,10,80,,,,no solid product,n/a
1454,MG2-106-14,Gd+Lu,Trimellitic,10,80,,,,no solid product,n/a
1455,MG2-106-15,Gd+Lu,Pyromellitic,10,80,,,,no solid product,n/a
1456,MG2-106-16,Gd+Lu,Mellitic,10,80,0.103,0.103,0.103,no crystalline product,n/a
1457,MG2-107-01,Gd+Lu,BTC,0,60,0.332,0.332,0.332,CAQFEI,unknown phase
1458,MG2-107-02,Gd+Lu,Trimellitic,0,60,,,,VOYWUB,n/a
1459,MG2-107-03,Gd+Lu,Pyromellitic,0,60,,,,no solid product,n/a
1460,MG2-107-04,Gd+Lu,Mellitic,0,60,0.016,0.181,0.016,no crystalline product,n/a
1461,MG2-107-05,Gd+Lu,BTC,2,60,0.686,0.686,0.686,no crystalline product,n/a
1462,MG2-107-06,Gd+Lu,Trimellitic,2,60,,,,no solid product,n/a
1463,MG2-107-07,Gd+Lu,Pyromellitic,2,60,,,,no solid product,n/a
1464,MG2-107-08,Gd+Lu,Mellitic,2,60,0.037,0.037,0.037,no crystalline product,n/a
1465,MG2-107-09,Gd+Lu,BTC,5,60,,,,no solid product,n/a
1466,MG2-107-10,Gd+Lu,Trimellitic,5,60,0.713,,0.713,no crystalline product,n/a
1467,MG2-107-11,Gd+Lu,Pyromellitic,5,60,,,,no solid product,n/a
1468,MG2-107-12,Gd+Lu,Mellitic,5,60,0.058,0.058,0.058,no crystalline product,n/a
1469,MG2-107-13,Gd+Lu,BTC,10,60,,,,no solid product,n/a
1470,MG2-107-14,Gd+Lu,Trimellitic,10,60,,,,no solid product,n/a
1471,MG2-107-15,Gd+Lu,Pyromellitic,10,60,,,,no solid product,n/a
1472,MG2-107-16,Gd+Lu,Mellitic,10,60,0.079,0.079,0.079,no crystalline product,n/a
1473,MG2-108-01,Gd+Lu,BTC,0,40,0.166,0.332,0.166,CAQFEI,n/a
1474,MG2-108-02,Gd+Lu,Trimellitic,0,40,,,,no solid product,n/a
1475,MG2-108-03,Gd+Lu,Pyromellitic,0,40,1.011,,1.011,no solid product,n/a
1476,MG2-108-04,Gd+Lu,Mellitic,0,40,0.02,0.02,0.02,no crystalline product,n/a
1477,MG2-108-05,Gd+Lu,BTC,2,40,0.858,1.025,0.858,RAVJUV,n/a
1478,MG2-108-06,Gd+Lu,Trimellitic,2,40,,,,no solid product,n/a
1479,MG2-108-07,Gd+Lu,Pyromellitic,2,40,,,,no solid product,n/a
1480,MG2-108-08,Gd+Lu,Mellitic,2,40,0.212,0.048,0.048,no crystalline product,n/a
1481,MG2-108-09,Gd+Lu,BTC,5,40,,,,no crystalline product,n/a
1482,MG2-108-10,Gd+Lu,Trimellitic,5,40,,,,no solid product,n/a
1483,MG2-108-11,Gd+Lu,Pyromellitic,5,40,,,,no solid product,n/a
1484,MG2-108-12,Gd+Lu,Mellitic,5,40,0.074,0.074,0.074,no crystalline product,n/a
1485,MG2-108-13,Gd+Lu,BTC,10,40,,,,no solid product,n/a
1486,MG2-108-14,Gd+Lu,Trimellitic,10,40,,,,no solid product,n/a
1487,MG2-108-15,Gd+Lu,Pyromellitic,10,40,,,,no solid product,n/a
1488,MG2-108-16,Gd+Lu,Mellitic,10,40,0.102,0.102,0.102,no crystalline product,n/a
